"gid","gid-2","dist"
104,3493,"845.9048917924207"
105,3286,"606.0152856096613"
106,4004,"588.6538412806984"
107,2945,"652.7750152144449"
108,4221,"100.82910855716537"
109,3094,"2099.5562332924765"
110,3783,"583.7201706401497"
111,4185,"302.293301264651"
112,4093,"1314.893309492774"
113,3126,"624.6355784239107"
114,4182,"2043.603356901186"
115,4182,"1916.5480031544166"
116,4182,"1600.6367453591847"
117,3407,"1524.0831024505046"
118,2102,"1161.5200630934987"
119,3499,"1515.6236984973827"
120,3499,"596.5278506659765"
121,4182,"2354.607689097717"
122,3057,"4486.764110764671"
123,3057,"3575.333019687392"
124,4182,"2187.0895536719077"
125,2933,"1358.7155772951378"
126,3235,"1230.416932755699"
127,3985,"410.3305398575647"
128,3611,"623.5648664634866"
129,3985,"841.6020863813368"
130,2634,"982.2501376274054"
131,4217,"2108.2746957871914"
132,4217,"3083.3876692919903"
133,4093,"1587.416905807232"
134,4217,"291.55949754606894"
135,3730,"921.9430426510121"
136,3730,"8214.405194273842"
137,3730,"7945.909157575418"
138,4004,"13200.704767935606"
139,3730,"36.37393341197378"
140,3653,"1120.1085134036964"
141,3653,"779.2437977996148"
142,3653,"1145.372555725408"
143,3016,"7971.91153873568"
144,3016,"8003.696673413962"
145,3016,"1355.7944737108742"
146,3730,"10140.416405985186"
147,2943,"149.23250317153983"
148,4217,"8255.978340303298"
149,3730,"3965.410472311544"
150,3016,"8707.413134264954"
151,3730,"10447.525181899682"
152,3730,"9256.14546402043"
153,3729,"226.68690464935037"
154,3729,"243.33583387622167"
155,3729,"259.48223747330997"
156,3729,"269.9375531845293"
157,3729,"269.63134944495164"
158,3729,"281.66019779487476"
196,3730,"5172.328937452922"
159,3729,"266.8692856952471"
160,3729,"294.8542173268169"
161,3729,"314.62456239126993"
162,3729,"321.14939497006094"
163,3729,"327.18896337498757"
164,3729,"322.9328667138206"
165,3729,"341.9651583697336"
166,3407,"9985.78811363102"
167,3729,"305.321216708604"
168,3729,"246.58981974743315"
169,3729,"229.3726959640273"
170,3729,"128.8335997494295"
171,3729,"119.61245374920973"
172,3729,"124.67092818525443"
173,3729,"193.91526092006822"
174,3729,"70.72077420908983"
175,3729,"285.79620869163494"
176,3729,"50.421755048889835"
177,3729,"764.1331023855902"
178,3729,"500.4600239909978"
179,2933,"1372.7184593251125"
180,3016,"6547.250964937451"
181,3016,"6747.9044990643415"
182,3730,"8632.708157626372"
183,3031,"253.14084625271494"
184,3031,"147.0275245577254"
185,4129,"1086.9126999017242"
186,3241,"527.9546148672275"
187,3241,"148.6570982946035"
188,4129,"657.4099913293566"
189,3483,"1224.0629420018277"
190,4129,"787.9575889219677"
191,4129,"656.5563926632421"
192,4129,"1116.8614559854698"
193,3483,"1038.0058991923102"
194,3818,"362.16919731726813"
195,2102,"1365.5994553546354"
197,4148,"1217.074301716422"
198,3197,"2402.084863633255"
199,3286,"310.0022158788291"
200,3286,"319.8384336835503"
201,3286,"241.53789782433938"
202,3286,"157.37403447984963"
203,3286,"78.26827132453501"
204,3286,"515.5305393392872"
205,3286,"822.4979166758534"
206,4361,"188.1336113158693"
207,4358,"4510.569036713637"
208,4358,"4308.050253177752"
209,4361,"229.63353031532478"
210,3200,"359.96723433861405"
211,3200,"1081.9599951941668"
212,3322,"1087.6539755325614"
213,3725,"1869.5603187387312"
214,3982,"4106.195823376388"
215,3982,"1730.2369110553668"
216,4358,"4153.460535846419"
217,3780,"2058.216662152668"
218,2943,"148.0247559414974"
219,3729,"725.3420206822566"
220,3729,"56.94143181291167"
221,3729,"199.1080258320263"
222,3729,"272.8711886166908"
223,3729,"267.2692691310479"
224,3729,"112.56429785601134"
225,3945,"911.8933018324526"
226,3945,"618.9663360413185"
227,3945,"612.9476297881843"
228,2932,"82.01598924516094"
